,Index Number,Name,Address,Project Status,Occupancy Year,Operator,URL,Geom,Local Area,unit_count,unit_category,unit_detail
8627,247,,1115 Nelson St,Completed,1969,The Bloom Group,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=247,POINT (-123.12867658 49.28327763),West End,36,Design,Standard 1BR
8628,248,,1763 Nelson St,Completed,1983,Sojourn Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=248,POINT (-123.1377026 49.28912892),West End,8,Design,Standard 1BR
8630,251,,1110 Odlum Dr,Completed,1983,Tidal Flats Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=251,POINT (-123.07546996 49.27463356),Grandview-Woodland,6,Design,Standard 1BR
8632,257,,350 E Pender St,Completed,1982,Mau Dan Gardens Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=257,POINT (-123.0957684 49.27984549),Strathcona,25,Design,Standard 1BR
8633,258,,827 E Pender St,Completed,1988,Lesya Ukrainka Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=258,POINT (-123.08649623 49.28038687),Strathcona,19,Design,Standard 1BR
8634,259,,853 E Pender St,Completed,1982,Rose Garden Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=259,POINT (-123.0858665 49.28037655),Strathcona,6,Design,Standard 1BR
8635,267,,133 W Pender St,Completed,1990,BC Indigenous Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=267,POINT (-123.10855569 49.28154278),Downtown,109,Design,Standard 1BR
8636,279,,1725 E Pender St,Completed,1994,BC Indigenous Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=279,POINT (-123.06970069 49.28053613),Grandview-Woodland,7,Design,Standard 1BR
8640,296,,1873 Spyglass Place,Completed,1984,Metro Vancouver Housing Corporation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=296,POINT (-123.11579149 49.26864189),Fairview,18,Design,Standard 1BR
8641,299,,225 N Templeton Dr,Completed,1984,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=299,POINT (-123.0600295 49.28712107),Grandview-Woodland,3,Design,Standard 1BR
8643,319,,8080 Yukon St,Completed,1976,Vancouver Kiwanis Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=319,POINT (-123.11404507 49.21174063),Marpole,13,Design,Standard 1BR
8644,321,,510 Alexander St,Completed,1993,Lookout Housing and Health Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=321,POINT (-123.09262135 49.2837058),Strathcona,33,Design,Standard 1BR
8645,323,,238 Davie St,Completed,1993,Brightside Community Homes Foundation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=323,POINT (-123.12370772 49.27375636),Downtown,56,Design,Standard 1BR
8646,326,,2950 Euclid Ave,Completed,1993,Brightside Community Homes Foundation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=326,POINT (-123.04369648 49.24006198),Renfrew-Collingwood,45,Design,Standard 1BR
8647,338,,2260 W 10th Ave,Completed,1999,Arbutus Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=338,POINT (-123.15663359 49.26266126),Kitsilano,16,Design,Standard 1BR
8649,348,,2588 Nanaimo St,Completed,1998,Brightside Community Homes Foundation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=348,POINT (-123.0561524 49.26134544),Renfrew-Collingwood,4,Design,Standard 1BR
8650,356,,20 W  Hastings St,Completed,2000,PHS Community Services Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=356,POINT (-123.10547529 49.28138819),Downtown,18,Design,Standard 1BR
8654,364,,1640 Graveley St,Completed,1998,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=364,POINT (-123.07051679 49.27026481),Grandview-Woodland,1,Design,Standard 1BR
8657,371,,1600 E 8th Ave,Completed,1998,Kettle Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=371,POINT (-123.0716834 49.26302735),Grandview-Woodland,1,Design,Standard 1BR
