,Index Number,Name,Address,Project Status,Occupancy Year,Operator,URL,Geom,Local Area,unit_count,unit_category,unit_detail
1554,184,,1339 Graveley St,Completed,1988,BC Indigenous Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=184,POINT (-123.07637895 49.27082772),Grandview-Woodland,2,Clientele,Other
1557,201,,8828 Hudson St,Completed,1988,Eburne Landing Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=201,POINT (-123.13433186 49.20534612),Marpole,16,Clientele,Other
1562,220,,1483 Lamey's Mill Rd,Completed,1985,Creekview Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=220,POINT (-123.1370449 49.26932061),Fairview,38,Clientele,Other
1564,224,,1189 Main St,Completed,1992,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=224,POINT (-123.10049338 49.27408446),Downtown,2,Clientele,Other
1565,225,,1129 Main St,Completed,1992,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=225,POINT (-123.10047839 49.27455606),Downtown,2,Clientele,Other
1569,236,,3410 McIntyre Dr,Completed,1984,Arlington Grove Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=236,POINT (-123.0314457 49.21961153),Killarney,8,Clientele,Other
1570,237,,800 McLean Dr,Completed,1976,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=237,POINT (-123.07393952 49.27734561),Grandview-Woodland,19,Clientele,Other
1571,239,,1885 McLean Dr,Completed,1986,Coast Mental Health,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=239,POINT (-123.07596571 49.26809347),Grandview-Woodland,25,Clientele,Other
1572,240,,711 Millyard,Completed,1977,False Creek Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=240,POINT (-123.12174954 49.26694875),Fairview,16,Clientele,Other
1573,241,,16 Nanaimo St,Completed,1987,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=241,POINT (-123.05609131 49.28423783),Hastings-Sunrise,5,Clientele,Other
1574,242,,76 N Nanaimo St,Completed,1987,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=242,POINT (-123.0560918 49.28535684),Hastings-Sunrise,4,Clientele,Other
1575,243,,3075 Nanaimo St,Completed,1962,New Chelsea Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=243,POINT (-123.05714229 49.25707726),Kensington-Cedar Cottage,1,Clientele,Other
1577,248,,1763 Nelson St,Completed,1983,Sojourn Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=248,POINT (-123.1377026 49.28912892),West End,12,Clientele,Other
1578,249,,2929 Nootka St,Completed,1979,Metro Vancouver Housing Corporation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=249,POINT (-123.04263316 49.25744846),Renfrew-Collingwood,23,Clientele,Other
1579,251,,1110 Odlum Dr,Completed,1983,Tidal Flats Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=251,POINT (-123.07546996 49.27463356),Grandview-Woodland,7,Clientele,Other
1580,253,,128 N Nanaimo St,Completed,1992,Kiwassa Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=253,POINT (-123.0558684 49.28599067),Hastings-Sunrise,1,Clientele,Other
1581,257,,350 E Pender St,Completed,1982,Mau Dan Gardens Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=257,POINT (-123.0957684 49.27984549),Strathcona,25,Clientele,Other
1583,259,,853 E Pender St,Completed,1982,Rose Garden Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=259,POINT (-123.0858665 49.28037655),Strathcona,48,Clientele,Other
1584,267,,133 W Pender St,Completed,1990,BC Indigenous Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=267,POINT (-123.10855569 49.28154278),Downtown,5,Clientele,Other
1585,279,,1725 E Pender St,Completed,1994,BC Indigenous Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=279,POINT (-123.06970069 49.28053613),Grandview-Woodland,2,Clientele,Other
1589,296,,1873 Spyglass Place,Completed,1984,Metro Vancouver Housing Corporation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=296,POINT (-123.11579149 49.26864189),Fairview,20,Clientele,Other
1590,299,,225 N Templeton Dr,Completed,1984,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=299,POINT (-123.0600295 49.28712107),Grandview-Woodland,3,Clientele,Other
1593,321,,510 Alexander St,Completed,1993,Lookout Housing and Health Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=321,POINT (-123.09262135 49.2837058),Strathcona,4,Clientele,Other
1594,323,,238 Davie St,Completed,1993,Brightside Community Homes Foundation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=323,POINT (-123.12370772 49.27375636),Downtown,5,Clientele,Other
1595,326,,2950 Euclid Ave,Completed,1993,Brightside Community Homes Foundation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=326,POINT (-123.04369648 49.24006198),Renfrew-Collingwood,1,Clientele,Other
1596,338,,2260 W 10th Ave,Completed,1999,Arbutus Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=338,POINT (-123.15663359 49.26266126),Kitsilano,24,Clientele,Other
1598,348,,2588 Nanaimo St,Completed,1998,Brightside Community Homes Foundation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=348,POINT (-123.0561524 49.26134544),Renfrew-Collingwood,4,Clientele,Other
1599,356,,20 W  Hastings St,Completed,2000,PHS Community Services Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=356,POINT (-123.10547529 49.28138819),Downtown,86,Clientele,Other
1600,357,,144 Heatley Ave,Completed,1993,Raincity Housing and Support Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=357,POINT (-123.08914065 49.28325701),Strathcona,27,Clientele,Other
1601,358,,380 Main St,Completed,1998,Neighbourhood Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=358,POINT (-123.09917453 49.28168215),Strathcona,35,Clientele,Other
1603,364,,1640 Graveley St,Completed,1998,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=364,POINT (-123.07051679 49.27026481),Grandview-Woodland,1,Clientele,Other
1604,366,,561 E 16th Ave,Completed,2000,Sanford Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=366,POINT (-123.09238571 49.25672665),Mount Pleasant,18,Clientele,Other
1605,367,,275 Alexander St,Completed,1999,The Core Artists Co-op,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=367,POINT (-123.09842997 49.28443077),Strathcona,30,Clientele,Other
1606,371,,1600 E 8th Ave,Completed,1998,Kettle Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=371,POINT (-123.0716834 49.26302735),Grandview-Woodland,18,Clientele,Other
1607,373,,177 E Hastings St,Completed,1999,PHS Community Services Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=373,POINT (-123.10048315 49.28165538),Downtown,81,Clientele,Other
1608,379,,65 E Hastings St,Completed,2009,Raincity Housing and Support Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=379,POINT (-123.10290041 49.28169883),Downtown,92,Clientele,Other
1609,380,,201 Alvin Narod Mews,Completed,2001,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=380,POINT (-123.12004247 49.27489914),Downtown,1,Clientele,Other
1610,383,,146 W Hastings St,Completed,2000,PHS Community Services Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=383,POINT (-123.10880758 49.28198916),Downtown,40,Clientele,Other
1611,394,,188 Milross Ave,Completed,2002,City Gate Co-op Hsg Asoc.,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=394,POINT (-123.10039806 49.27563582),Downtown,10,Clientele,Other
1612,400,,1254 E 8th Ave,Completed,2004,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=400,POINT (-123.07803227 49.2630781),Mount Pleasant,6,Clientele,Other
1614,405,,1220 Salsbury Dr,Completed,1981,Vancouver East Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=405,POINT (-123.06726741 49.27352487),Grandview-Woodland,8,Clientele,Other
1616,417,,1122 Comox St,Completed,2001,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=417,POINT (-123.12999955 49.28201171),West End,5,Clientele,Other
1617,420,,1146 Comox St,Completed,2001,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=420,POINT (-123.13049068 49.28232982),West End,5,Clientele,Other
1618,422,,1137 Pendrell St,Completed,2002,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=422,POINT (-123.1306738 49.28181043),West End,6,Clientele,Other
1619,424,,1154 Comox St,Completed,2003,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=424,POINT (-123.13068653 49.2824566),West End,3,Clientele,Other
1620,425,,1160 Comox St,Completed,2003,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=425,POINT (-123.1307847 49.2825202),West End,4,Clientele,Other
1622,427,,1170 Comox St,Completed,2003,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=427,POINT (-123.13108016 49.2827116),West End,2,Clientele,Other
1623,434,,1157 Pendrell St,Completed,2003,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=434,POINT (-123.1311698 49.28213766),West End,8,Clientele,Other
1624,440,,1119 Thurlow St,Completed,2003,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=440,POINT (-123.13018469 49.28131028),West End,7,Clientele,Other
1626,483,,131 W Hastings St,Completed,2010,PHS Community Services Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=483,POINT (-123.10776232 49.28276526),Downtown,125,Clientele,Other
1628,492,,2864 E 5th Ave,Completed,1983,Access Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=492,POINT (-123.04557776 49.26540171),Hastings-Sunrise,8,Clientele,Other
1629,493,,1261 Granville St,Completed,2005,City of Vancouver,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=493,POINT (-123.12746742 49.27669007),Downtown,83,Clientele,Other
1633,597,,1601 W 7th Av,Completed,2012,Sanford Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=597,POINT (-123.14131128 49.26563829),Fairview,62,Clientele,Other
1634,634,,2980 Nanaimo,Completed,2012,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=634,POINT (-123.05614045 49.25719768),Renfrew-Collingwood,6,Clientele,Other
1635,647,,80 Walter Hardwick Ave.,Completed,2010,S.U.C.C.E.S.S.,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=647,POINT (-123.1057161 49.27075307),Mount Pleasant,26,Clientele,Other
1636,648,,122 Walter Hardwick Ave.,Completed,2010,S.U.C.C.E.S.S.,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=648,POINT (-123.10760298 49.27078693),Mount Pleasant,39,Clientele,Other
1637,649,,151 W. 1st Ave.,Completed,2010,Co-operative Housing Federation of BC,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=649,POINT (-123.10861889 49.27064319),Mount Pleasant,7,Clientele,Other
1638,668,,404 Hawks Ave,Completed,2007,Atira Women’s Resource Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=668,POINT (-123.08690641 49.28086915),Strathcona,38,Clientele,Other
1639,692,,1436 West 71st Avenue,Completed,2008,Tikva Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=692,POINT (-123.13817325 49.20677619),Marpole,11,Clientele,Other
1640,705,,2304 W 8th Av,Completed,2012,Kitsilano Neighbourhood House,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=705,POINT (-123.15800935 49.26456261),Kitsilano,10,Clientele,Other
1641,708,,618 Commercial Dr,Completed,2010,Coast Mental Health,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=708,POINT (-123.0701159 49.27910862),Grandview-Woodland,18,Clientele,Other
1642,710,,728 W 8th Ave,Completed,2012,Heritage Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=710,POINT (-123.12046637 49.2639696),Fairview,5,Clientele,Other
1647,760,,557 E Cordova St,Completed,2015,MPA Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=760,POINT (-123.09214537 49.28239934),Strathcona,5,Clientele,Other
1648,775,,1720 Kingsway,Completed,2017,Sanford Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=775,POINT (-123.06946375 49.24684661),Kensington-Cedar Cottage,48,Clientele,Other
1649,786,,41 E Hastings St,Completed,2018,Atira Women’s Resource Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=786,POINT (-123.10334078 49.28172425),Downtown,120,Clientele,Other
1650,791,,1495 W 8th Ave,Completed,2021,Vancouver Masonic Centre,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=791,POINT (-123.13751409 49.26497349),Fairview,111,Clientele,Other
1651,792,,946 - 950 Main St,Completed,2021,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=792,POINT (-123.09948504 49.27598238),Strathcona,26,Clientele,Other
1652,798,,5688 Ash St,Completed,2019,Oakridge Lutheran Church Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=798,POINT (-123.11760049 49.23385582),South Cambie,30,Clientele,Other
1653,800,,500-650 W 57th Ave,Approved,,,,POINT (-123.11780837 49.21835764),Marpole,90,Clientele,Other
1654,802,,124 Dunlevy Ave,Completed,2021,City of Vancouver,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=802,POINT (-123.0948261 49.28373962),Strathcona,194,Clientele,Other
1655,811,,401 Jackson Ave,Under Construction,,Aboriginal Land Trust Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=811,,Unknown,145,Clientele,Other
1656,814,,177 W Pender St,Under Construction,,Community Land Trust Foundation of BC,,POINT (-123.10920892 49.28166995),Downtown,69,Clientele,Other
1657,815,,75 SW Marine Dr,Completed,2022,New Chelsea Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=815,POINT (-123.10773385 49.21271041),Marpole,29,Clientele,Other
1658,819,,320 E Hastings St,Under Construction,,,,POINT (-123.09704179 49.28098552),Strathcona,105,Clientele,Other
1659,831,,650 W 41st Ave,Under Construction,,Sanford Housing Society,,,Unknown,112,Clientele,Other
1660,839,,220 Terminal Ave,Completed,2017,City of Vancouver,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=839,POINT (-123.09968569 49.27237498),Strathcona,40,Clientele,Other
1661,849,,625-777 Pacific St,Approved,,More Than A Roof Housing Society,,POINT (-123.12818293 49.27489867),Downtown,97,Clientele,Other
1662,852,,1190 Burrard St,Under Construction,,McLaren Housing Society of BC,,,Unknown,106,Clientele,Other
1664,857,,5250 Ash St,Approved,,,,POINT (-123.1173014 49.2376526),South Cambie,41,Clientele,Other
1665,859,,3279 - 3297 Vanness Ave,Under Construction,,,,,Unknown,65,Clientele,Other
1666,862,,3819 Boundary Rd,Completed,2021,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=862,POINT (-123.02424893 49.25040035),Renfrew-Collingwood,17,Clientele,Other
1667,866,,3625 Sawmill Crescent,Completed,2021,Catalyst Community Developments Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=866,POINT (-123.02444018 49.20668835),Killarney,36,Clientele,Other
1668,869,,1102 - 1138 E Georgia St,Completed,2024,Anhart Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=869,POINT (-123.08077596 49.27797526),Strathcona,5,Clientele,Other
1670,883,,1001 Kingsway,Proposed,,,,POINT (-123.08348134 49.25412044),Kensington-Cedar Cottage,52,Clientele,Other
1671,889,,1885 E Pender St,Proposed,,,,POINT (-123.06602928 49.28048558),Grandview-Woodland,36,Clientele,Other
1672,890,,4949-5255 Heather St & 657 W 37th Ave,Approved,,,,POINT (-123.12185811 49.24025538),South Cambie,270,Clientele,Other
1673,891,,546 W 13th Ave,Under Construction,,Soroptimist Club of Vancouver,,,Unknown,88,Clientele,Other
1674,894,,2929 Commercial Dr,Approved,,,,POINT (-123.07023083 49.25839773),Kensington-Cedar Cottage,21,Clientele,Other
1675,896,,1317 Richard St & 508 Drake St,Under Construction,,,,POINT (-123.12635099 49.27484364),Downtown,173,Clientele,Other
1677,901,,4902 James St,Under Construction,,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=901,,Unknown,1,Clientele,Other
1678,912,,1025 Granville St,Completed,2021,Community Builders Group,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=912,POINT (-123.12384062 49.27910653),Downtown,77,Clientele,Other
1679,913,,435 W Pender St,Completed,2021,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=913,POINT (-123.11226379 49.28332247),Downtown,80,Clientele,Other
1680,920,,1210 Seymour St,Under Construction,,,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=920,POINT (-123.125212 49.27614383),Downtown,90,Clientele,Other
1681,935,,949 W 41st Ave and 5469-5507 Willow St,Approved,,,,POINT (-123.12472797 49.23414343),South Cambie,165,Clientele,Other
1682,937,,1810 Alberni St / 1818 Alberni,Under Construction,,,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=937,,Unknown,14,Clientele,Other
1683,942,,1325-1333 E Georgia St,Approved,,Lu'Ma Native Housing Society,,POINT (-123.07653322 49.27882739),Grandview-Woodland,29,Clientele,Other
1684,945,,774 W 13th Ave,Approved,,Metro Vancouver Housing Corporation,,,Unknown,99,Clientele,Other
1685,947,,52-92 E Hastings St,Under Construction,,Lu'Ma Native Housing Society,,POINT (-123.10272097 49.28108972),Downtown,84,Clientele,Other
1686,950,,128 - 138 E Cordova St,Under Construction,,Salvation Army,,POINT (-123.10109474 49.28205621),Downtown,46,Clientele,Other
1687,952,,3505 Kingsway,Completed,2022,Sch'eyk Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=952,POINT (-123.02904189 49.23235486),Renfrew-Collingwood,24,Clientele,Other
1688,953,,2075 Kingsway,Completed,2023,Connective Supportive Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=953,POINT (-123.06367433 49.2450181),Kensington-Cedar Cottage,65,Clientele,Other
1689,971,,1111 Broughton St,Proposed,,,,POINT (-123.13509264 49.28476615),West End,84,Clientele,Other
1690,984,,388 Slocan,Completed,2024,YWCA Vancouver,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=984,POINT (-123.04884634 49.28142299),Hastings-Sunrise,44,Clientele,Other
1691,988,,8559 Jack Uppal St,Completed,2025,Sawmill Co-op,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=988,POINT (-123.03388168 49.20633158),Killarney,94,Clientele,Other
1692,991,,143 Dunlevy Ave,Completed,2006,Atira Women’s Resource Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=991,POINT (-123.0955126 49.28336116),Strathcona,56,Clientele,Other
1693,996,,561 E Hastings St,Completed,2016,Atira Property Management Inc.,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=996,POINT (-123.09199723 49.28148942),Strathcona,54,Clientele,Other
1694,997,,658 Alexander St,Completed,2023,Circle of Eagles Lodge Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=997,,Unknown,17,Clientele,Other
1698,24,,1800 E 5th Ave,Completed,1976,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=24,POINT (-123.06799095 49.26555761),Grandview-Woodland,25,Clientele,Other
1699,27,,5709 Wales St,Completed,1994,Brightside Community Homes Foundation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=27,POINT (-123.05213397 49.23246527),Victoria-Fraserview,1,Clientele,Other
1702,31,,330 E 6th Ave,Completed,1975,New Chelsea Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=31,POINT (-123.09804729 49.26518737),Mount Pleasant,1,Clientele,Other
1703,37,,730 W 6th Ave,Completed,1992,Stan Stronge Noble House Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=37,POINT (-123.12056203 49.26564344),Fairview,5,Clientele,Other
1704,41,,775 E 7th Ave,Completed,1984,Jasmine Place Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=41,POINT (-123.08761087 49.2645604),Mount Pleasant,7,Clientele,Other
1706,44,,1216 E 7th Ave,Completed,1981,Coast Mental Health,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=44,POINT (-123.07890671 49.26397621),Mount Pleasant,30,Clientele,Other
1707,52,,1330 E 8th Ave,Completed,1985,BC Indigenous Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=52,POINT (-123.07666847 49.263058),Grandview-Woodland,8,Clientele,Other
1708,55,,2053 W 8th Ave,Completed,1986,Maple Creek Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=55,POINT (-123.15173449 49.26495895),Kitsilano,16,Clientele,Other
1710,62,,1842 E 10th Ave,Completed,1989,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=62,POINT (-123.06693953 49.26108247),Kensington-Cedar Cottage,2,Clientele,Other
1711,65,,1823 E 11th Ave,Completed,1990,Victoria Gardens Co-op Housing Assoc,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=65,POINT (-123.06745152 49.26070528),Kensington-Cedar Cottage,6,Clientele,Other
1712,68,,2075 E 12th Ave,Completed,1983,Lakewood Terrace Co-op Housing Assoc,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=68,POINT (-123.06277581 49.25992897),Kensington-Cedar Cottage,16,Clientele,Other
1717,85,,404 E 43rd Ave,Completed,1986,Crossroads Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=85,POINT (-123.09676819 49.23083693),Sunset,6,Clientele,Other
1718,92,,1516 W 71st Ave,Completed,1988,Rishon Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=92,POINT (-123.14150123 49.20682197),Marpole,8,Clientele,Other
1719,93,,1599 W 71st Ave,Completed,1984,Marine Court Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=93,POINT (-123.14347965 49.20760295),Marpole,8,Clientele,Other
1722,100,,310 Alexander St,Completed,1986,Veterans' Memorial Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=100,POINT (-123.0973628 49.28378914),Strathcona,133,Clientele,Other
1723,102,,638 Alexander St,Completed,1985,Alexander Street Co-operative Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=102,POINT (-123.09046001 49.28366031),Strathcona,51,Clientele,Other
1725,113,,3401 E 43rd Ave,Completed,1986,Pacific Park Place Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=113,POINT (-123.03003447 49.23126023),Killarney,9,Clientele,Other
1727,119,,2616 W Broadway,Completed,1984,Kitsilano Terrace Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=119,POINT (-123.16523828 49.26376668),Kitsilano,15,Clientele,Other
1730,127,,3637 Cambie St,Completed,1982,Eight Oaks Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=127,POINT (-123.11584604 49.25295523),South Cambie,11,Clientele,Other
1731,131,,950 Cassiar St,Completed,1978,Adanac Village Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=131,POINT (-123.02811463 49.2763955),Hastings-Sunrise,22,Clientele,Other
1732,135,,1555 Charles St,Completed,1987,Charles Square Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=135,POINT (-123.07198632 49.27333302),Grandview-Woodland,18,Clientele,Other
1734,138,,527 Commodore Rd,Completed,1984,Connaught Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=138,POINT (-123.11596251 49.26801477),Fairview,13,Clientele,Other
1735,144,,420 E Cordova,Completed,1981,Metro Vancouver Housing Corporation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=144,POINT (-123.09482718 49.28193148),Strathcona,64,Clientele,Other
1737,152,,8001 Curate Wynd,Completed,1983,Kinross Creek Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=152,POINT (-123.02878208 49.21247171),Killarney,9,Clientele,Other
1738,153,,2425 Cypress St,Completed,1976,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=153,POINT (-123.14845684 49.26444467),Kitsilano,2,Clientele,Other
